Mask,Index,Name,R,G,B,A
aparc+aseg,13157,wm_lh_S_intrapariet_and_P_trans,143,20,220,255
aparc+aseg,13158,wm_lh_S_oc_middle_and_Lunatus,101,60,220,255
aparc+aseg,13159,wm_lh_S_oc_sup_and_transversal,21,20,140,255
aparc+aseg,13160,wm_lh_S_occipital_ant,61,20,180,255
aparc+aseg,13161,wm_lh_S_oc-temp_lat,221,140,20,255
aparc+aseg,13162,wm_lh_S_oc-temp_med_and_Lingual,141,100,220,255
aparc+aseg,13163,wm_lh_S_orbital_lateral,221,100,20,255
aparc+aseg,13164,wm_lh_S_orbital_med-olfact,181,200,20,255
aparc+aseg,13165,wm_lh_S_orbital-H_Shaped,101,20,20,255
aparc+aseg,13166,wm_lh_S_parieto_occipital,101,100,180,255
aparc+aseg,13167,wm_lh_S_pericallosal,181,220,20,255
aparc+aseg,13168,wm_lh_S_postcentral,21,140,200,255
aparc+aseg,13169,wm_lh_S_precentral-inf-part,21,20,240,255
aparc+aseg,13170,wm_lh_S_precentral-sup-part,21,20,200,255
aparc+aseg,13171,wm_lh_S_suborbital,21,20,60,255
aparc+aseg,13172,wm_lh_S_subparietal,101,60,60,255
aparc+aseg,13173,wm_lh_S_temporal_inf,21,180,180,255
aparc+aseg,13174,wm_lh_S_temporal_sup,223,220,60,255
aparc+aseg,13175,wm_lh_S_temporal_transverse,221,60,60,255
aparc+aseg,14100,wm_rh_Unknown,0,0,0,255
aparc+aseg,14101,wm_rh_G_and_S_frontomargin,23,220,60,255
aparc+aseg,14102,wm_rh_G_and_S_occipital_inf,23,60,180,255
aparc+aseg,14103,wm_rh_G_and_S_paracentral,63,100,60,255
aparc+aseg,14104,wm_rh_G_and_S_subcentral,63,20,220,255
aparc+aseg,14105,wm_rh_G_and_S_transv_frontopol,13,0,250,255
aparc+aseg,14106,wm_rh_G_and_S_cingul-Ant,26,60,0,255
aparc+aseg,14107,wm_rh_G_and_S_cingul-Mid-Ant,26,60,75,255
aparc+aseg,14108,wm_rh_G_and_S_cingul-Mid-Post,26,60,150,255
aparc+aseg,14109,wm_rh_G_cingul-Post-dorsal,25,60,250,255
aparc+aseg,14110,wm_rh_G_cingul-Post-ventral,60,25,25,255
aparc+aseg,14111,wm_rh_G_cuneus,180,20,20,255
aparc+aseg,14112,wm_rh_G_front_inf-Opercular,220,20,100,255
aparc+aseg,14113,wm_rh_G_front_inf-Orbital,140,60,60,255
aparc+aseg,14114,wm_rh_G_front_inf-Triangul,180,220,140,255
aparc+aseg,14115,wm_rh_G_front_middle,140,100,180,255
aparc+aseg,14116,wm_rh_G_front_sup,180,20,140,255
aparc+aseg,14117,wm_rh_G_Ins_lg_and_S_cent_ins,23,10,10,255
aparc+aseg,14118,wm_rh_G_insular_short,225,140,140,255
aparc+aseg,14119,wm_rh_G_occipital_middle,180,60,180,255
aparc+aseg,14120,wm_rh_G_occipital_sup,20,220,60,255
aparc+aseg,14121,wm_rh_G_oc-temp_lat-fusifor,60,20,140,255
aparc+aseg,14122,wm_rh_G_oc-temp_med-Lingual,220,180,140,255
aparc+aseg,14123,wm_rh_G_oc-temp_med-Parahip,65,100,20,255
aparc+aseg,14124,wm_rh_G_orbital,220,60,20,255
aparc+aseg,14125,wm_rh_G_pariet_inf-Angular,20,60,220,255
aparc+aseg,14126,wm_rh_G_pariet_inf-Supramar,100,100,60,255
aparc+aseg,14127,wm_rh_G_parietal_sup,220,180,220,255
aparc+aseg,14128,wm_rh_G_postcentral,20,180,140,255
aparc+aseg,14129,wm_rh_G_precentral,60,140,180,255
aparc+aseg,14130,wm_rh_G_precuneus,25,20,140,255
aparc+aseg,14131,wm_rh_G_rectus,20,60,100,255
aparc+aseg,14132,wm_rh_G_subcallosal,60,220,20,255
aparc+aseg,14133,wm_rh_G_temp_sup-G_T_transv,60,60,220,255
aparc+aseg,14134,wm_rh_G_temp_sup-Lateral,220,60,220,255
aparc+aseg,14135,wm_rh_G_temp_sup-Plan_polar,65,220,60,255
aparc+aseg,14136,wm_rh_G_temp_sup-Plan_tempo,25,140,20,255
aparc+aseg,14137,wm_rh_G_temporal_inf,220,220,100,255
aparc+aseg,14138,wm_rh_G_temporal_middle,180,60,60,255
aparc+aseg,14139,wm_rh_Lat_Fis-ant-Horizont,61,20,220,255
aparc+aseg,14140,wm_rh_Lat_Fis-ant-Vertical,61,20,60,255
aparc+aseg,14141,wm_rh_Lat_Fis-post,61,60,100,255
aparc+aseg,14142,wm_rh_Medial_wall,25,25,25,255
aparc+aseg,14143,wm_rh_Pole_occipital,140,20,60,255
aparc+aseg,14144,wm_rh_Pole_temporal,220,180,20,255
aparc+aseg,14145,wm_rh_S_calcarine,63,180,180,255
aparc+aseg,14146,wm_rh_S_central,221,20,10,255
aparc+aseg,14147,wm_rh_S_cingul-Marginalis,221,20,100,255
aparc+aseg,14148,wm_rh_S_circular_insula_ant,221,60,140,255
aparc+aseg,14149,wm_rh_S_circular_insula_inf,221,20,220,255
aparc+aseg,14150,wm_rh_S_circular_insula_sup,61,220,220,255
aparc+aseg,14151,wm_rh_S_collat_transv_ant,100,200,200,255
aparc+aseg,14152,wm_rh_S_collat_transv_post,10,200,200,255
aparc+aseg,14153,wm_rh_S_front_inf,221,220,20,255
aparc+aseg,14154,wm_rh_S_front_middle,141,20,100,255
aparc+aseg,14155,wm_rh_S_front_sup,61,220,100,255
aparc+aseg,14156,wm_rh_S_interm_prim-Jensen,141,60,20,255
aparc+aseg,14157,wm_rh_S_intrapariet_and_P_trans,143,20,220,255
aparc+aseg,14158,wm_rh_S_oc_middle_and_Lunatus,101,60,220,255
aparc+aseg,14159,wm_rh_S_oc_sup_and_transversal,21,20,140,255
aparc+aseg,14160,wm_rh_S_occipital_ant,61,20,180,255
aparc+aseg,14161,wm_rh_S_oc-temp_lat,221,140,20,255
aparc+aseg,14162,wm_rh_S_oc-temp_med_and_Lingual,141,100,220,255
aparc+aseg,14163,wm_rh_S_orbital_lateral,221,100,20,255
aparc+aseg,14164,wm_rh_S_orbital_med-olfact,181,200,20,255
aparc+aseg,14165,wm_rh_S_orbital-H_Shaped,101,20,20,255
aparc+aseg,14166,wm_rh_S_parieto_occipital,101,100,180,255
aparc+aseg,14167,wm_rh_S_pericallosal,181,220,20,255
aparc+aseg,14168,wm_rh_S_postcentral,21,140,200,255
aparc+aseg,14169,wm_rh_S_precentral-inf-part,21,20,240,255
aparc+aseg,14170,wm_rh_S_precentral-sup-part,21,20,200,255
aparc+aseg,14171,wm_rh_S_suborbital,21,20,60,255
aparc+aseg,14172,wm_rh_S_subparietal,101,60,60,255
aparc+aseg,14173,wm_rh_S_temporal_inf,21,180,180,255
aparc+aseg,14174,wm_rh_S_temporal_sup,223,220,60,255
aparc+aseg,14175,wm_rh_S_temporal_transverse,221,60,60,255
inf_cerebellar_mask,1,inf_cerebellar_mask,255,30,30,140
inf_cerebellar_mask_pet,1,inf_cerebellar_mask_pet,255,10,10,255
white,1,white,255,255,255,255
red,1,red,255,30,30,255
whitemask70_nuspace_aparc,1,whitemask70_nuspace_aparc,205,153,252,100
whitemask70_nuspace_aparc_pet,1,whitemask70_nuspace_aparc_pet,255,255,255,255
QC_Cortex,1,QC_Cortex,255,255,255,255
QC_Cortex_white,1,QC_Cortex_white,255,255,255,255
QC_generic,1,QC_generic,255,255,255,255
QC_generic_red,1,QC_generic_red,255,65,65,255
QC_B34,1,QC_B34,37,212,255,175
QC_B34_pet,1,QC_B34_pet,255,84,182,255
QC_META,1,QC_B34,37,212,255,175
QC_META_pet,1,QC_META_pet,255,255,255,255
QC_B56,1,QC_B56,191, 179, 40,150
QC_whole_cereb,1,QC_whole_cereb,255,30,30,140
QC_whole_cereb_pet,1,QC_whole_cereb_pet,255,10,10,255
QC_cereb_gm,1,QC_cereb_gm,255,30,30,140
QC_cereb_gm_pet,1,QC_cereb_gm_pet,255,10,10,255
QC_brainstem,16,QC_brainstem,139,22,255,175
QC_brainstem_pet,16,QC_brainstem_pet,255,255,255,255
QC_Cort_Sum_pet,1,QC_Cort_Sum_pet,255,255,255,255
QC_Cort_Sum,1,QC_Cort_Sum,255,104,107,255
QC_Tau_Regions,1,QC_Tau_Regions,255,255,255,255
QC_Tau_Regions_red,1,QC_Tau_Regions_red,255,30,30,255
aparc+aseg,1006,ctx-lh-entorhinal_pet,255,255,255,255
aparc+aseg,2006,ctx-rh-entorhinal_pet,255,255,255,255
Error,999999,Error,0,0,0,0
