Mask,Index,Name,R,G,B,A
aparc+aseg,2001,ctx-rh-bankssts,25,100,40,255
aparc+aseg,2002,ctx-rh-caudalanteriorcingulate,125,100,160,255
aparc+aseg,2003,ctx-rh-caudalmiddlefrontal,100,25,0,255
aparc+aseg,2004,ctx-rh-corpuscallosum,120,70,50,255
aparc+aseg,2005,ctx-rh-cuneus,220,20,100,255
aparc+aseg,2006,ctx-rh-entorhinal,255,104,107,255
aparc+aseg,2007,ctx-rh-fusiform,180,220,140,255
aparc+aseg,2008,ctx-rh-inferiorparietal,220,60,220,255
aparc+aseg,2009,ctx-rh-inferiortemporal,180,40,120,255
aparc+aseg,2010,ctx-rh-isthmuscingulate,140,20,140,255
aparc+aseg,2011,ctx-rh-lateraloccipital,20,30,140,255
aparc+aseg,2012,ctx-rh-lateralorbitofrontal,35,75,50,255
aparc+aseg,2013,ctx-rh-lingual,225,140,140,255
aparc+aseg,2014,ctx-rh-medialorbitofrontal,200,35,75,255
aparc+aseg,2015,ctx-rh-middletemporal,160,100,50,255
aparc+aseg,2016,ctx-rh-parahippocampal,20,220,60,255
aparc+aseg,2017,ctx-rh-paracentral,60,220,60,255
aparc+aseg,2018,ctx-rh-parsopercularis,220,180,140,255
aparc+aseg,2019,ctx-rh-parsorbitalis,20,100,50,255
aparc+aseg,2020,ctx-rh-parstriangularis,220,60,20,255
aparc+aseg,2021,ctx-rh-pericalcarine,120,100,60,255
aparc+aseg,2022,ctx-rh-postcentral,220,20,20,255
aparc+aseg,2023,ctx-rh-posteriorcingulate,220,180,220,255
aparc+aseg,2024,ctx-rh-precentral,60,20,220,255
aparc+aseg,2025,ctx-rh-precuneus,160,140,180,255
aparc+aseg,2026,ctx-rh-rostralanteriorcingulate,80,20,140,255
aparc+aseg,2027,ctx-rh-rostralmiddlefrontal,75,50,125,255
aparc+aseg,2028,ctx-rh-superiorfrontal,20,220,160,255
aparc+aseg,2029,ctx-rh-superiorparietal,20,180,140,255
aparc+aseg,2030,ctx-rh-superiortemporal,140,220,220,255
aparc+aseg,2031,ctx-rh-supramarginal,80,160,20,255
aparc+aseg,2032,ctx-rh-frontalpole,100,0,100,255
aparc+aseg,2033,ctx-rh-temporalpole,250,0,250,255
aparc+aseg,2034,ctx-rh-transversetemporal,150,150,200,255
aparc+aseg,2035,ctx-rh-insula,255,192,32,255
aparc+aseg,3000,wm-lh-unknown,230,250,230,255
aparc+aseg,3001,wm-lh-bankssts,230,155,215,255
aparc+aseg,3002,wm-lh-caudalanteriorcingulate,130,155,95,255
